,0
y0,8.31142754235474
y1,2.425785289111175
y2,1.7108572118626362
y3,1.9925312289641386
y4,-6.758081990191259
y5,-7.035295324237115
y6,-4.664726496632918
y7,-1.889905328902644
y8,-7.22838990414658
y9,2.6650314356102496
y10,2.3727986598688133
y11,-4.720855776663768
y12,1.2198425122460133
y13,2.2177055975104842
y14,14.571971716617751
y15,-2.907035327746545
y16,4.921181530484756
y17,2.928257997521729
y18,-14.779936024035031
y19,16.648731597106327
y20,-11.444996347748994
y21,11.076799174952743
y22,-4.675440317838974
y23,-7.035307659347172
y24,3.8812987286607554
y25,-14.36224717648405
y26,-16.126227237524667
y27,3.9565298443627377
y28,-0.5179818722945171
y29,4.862451767516851
