,0
y0,-0.5869023888142268
y1,0.36626412846784595
y2,-1.0460871968631897
y3,2.1848863056378582
y4,1.875140006334554
y5,3.9614831838455573
y6,0.3999358809823494
y7,1.8228652763453101
y8,1.4176740341952017
y9,-0.05576249546401042
y10,-1.529418611151756
y11,-2.680671501676325
y12,-0.05597810909428824
y13,-0.14510678813598293
y14,0.9427825162527882
y15,-10.999947302135531
y16,1.4998517220141532
y17,4.05195660236717
y18,3.3499325385797123
y19,1.694314816239069
y20,12.216933353047358
y21,-1.5231488517641345
y22,-16.190364811171158
y23,8.331821087307434
y24,0.8389648257973757
y25,-6.878389080059546
y26,4.828956558207331
y27,-1.2700262839983838
y28,-11.322702543648235
y29,-8.072937714181363
