,0
y0,4.513100766299149
y1,-4.192596376598384
y2,3.0161315876408756
y3,-6.7938272698576165
y4,3.821853794850061
y5,-7.818171360052526
y6,1.9906361519923794
y7,8.944898865236627
y8,3.3677204952716173
y9,5.77001661849352
y10,9.957644485490517
y11,2.9902338630347085
y12,-13.18719745196136
y13,-2.9005627774921647
y14,16.386587571860698
y15,-3.993472498257175
y16,-3.1954540460191128
y17,-6.36279036207616
y18,-6.36478932793214
y19,8.774975620862016
y20,-1.4089708683391504
y21,1.3640218749235988
y22,14.154655810809952
y23,-3.1385625708395573
y24,1.3000902330187458
y25,7.919671292219056
y26,-3.2207800781690152
y27,2.476305184033883
y28,-2.5571817885169463
y29,2.8298871268044348
