sample,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0,0.80707968829615,-0.5188265476699612,0.9881649926343457,0.6369832997503635,0.5762713067462153,-0.7966386764241504,0.321056156367977,-0.4140361385918283,0.1581422688539431,0.01184173868255689,0.41105019629898054,0.06329611046144445,0.6320799175451488,0.7942864172313435,0.7782480138640835,0.2599791453115563,0.8278026927368263,0.38466755186489876,0.878571422338766,-0.2559674215549199
1,-0.9341251622362658,-0.12983035015126343,-0.18027050956748125,0.37896726651483315,-0.9988963160640687,-0.6756470358837248,0.42490642149480906,0.8550749024208264,0.5864329137657667,0.856041171500872,0.04291699511927627,0.1313581260533565,0.5289458391670088,-0.6900846810842611,0.7388228210425465,-0.5616181511682115,-0.7629366109013851,0.9220837076548962,-0.2124382357048693,0.7401898427007281
2,0.4004797957631405,0.35270321464194576,0.5393241380877141,-0.23949341205555696,0.4351355141717359,-0.7348624946059192,0.02674895180303727,-0.022246197912794585,-0.1736834740037001,0.04818156466227452,0.9805934660242452,0.22033405779241422,0.6914736400559867,-0.9928027411591396,0.1491922244070325,-0.35606190530430526,-0.636932299798812,-0.5448724059601662,-0.9605079844429869,-0.15030288331539854
3,0.8797719799517834,-0.36709739574454225,-0.22160915925308267,0.6449647487297685,0.9544352268420164,0.3567061026031677,0.3872025376332826,0.39643228233812233,-0.9445471150206792,0.8556501855782801,0.010555275782929252,-0.7173419251223483,0.8526930082670556,-0.6226189100278441,-0.649736191332309,-0.8169774928062676,-0.0460973233758466,-0.7106157033923803,-0.5417230022502573,0.14798465619876766
4,-0.10686420183864631,-0.44809879220356374,-0.7254532222154217,-0.010766806517436667,-0.946588186456107,-0.3550494585533521,0.5167609765488708,-0.8630967016259619,0.7596571380109876,0.579789184753071,-0.25231351535063107,-0.6591073624504573,-0.9678614345941106,0.059950977567969854,0.570995773420665,-0.6512171332247974,-0.12954723029557735,-0.560402234449471,0.6601542343645528,-0.6566705878600054
5,0.9312121426156115,0.4585208409400374,0.5944578088838492,0.9223695973922976,0.4613691617933704,-0.9295607362511669,-0.7688771102050993,-0.4937762148252287,-0.23760324666125898,0.280846942965588,0.46517378247523355,-0.25468029923235,0.9183568012316592,-0.28047431924122335,-0.5012372767980582,0.4417696978750729,-0.868591460931899,-0.2535695128238704,0.1757756713165468,-0.9686747265266393
6,0.34990910059791824,-0.8564152702993979,0.5979903137303393,-0.24516991602319438,-0.5372364134018723,0.6431998593317705,-0.03120358315053573,0.3775428656406492,0.9945088686039609,-0.7091586728205188,0.7434381225081779,0.6961105699804278,-0.9176288695577302,0.2970988658210665,0.8670289928678345,-0.33023133534724236,0.34614942014856154,-0.0644920133622584,-0.5513141140305742,0.8276165030577725
7,0.4041710510139467,-0.43911187598691814,-0.9340479887736803,0.7743743711814597,0.9815335702438832,-0.829257390627697,0.7218744066267548,0.4521534382838681,0.5223552124582593,-0.8204961826461237,-0.3369806153924,-0.4911583960896233,0.8390478578157132,0.3561096157036221,-0.7911022883870014,-0.02493882432500172,-0.23046299960895555,-0.5769733427578567,-0.174328183621137,0.27369457262997265
8,-0.14817250123567582,0.48454726636927403,-0.23615997167232572,-0.40180188559110785,0.6848986865259854,-0.5622064987841833,-0.5626266793667065,-0.05453268131466538,-0.46977951800999884,-0.947140801084227,-0.9270564298663249,-0.5346020573568124,-0.6463661336334272,0.6134422258559156,0.21558358138712141,-0.5816621675238676,0.17151467303542467,0.9662690271630874,-0.6350557538763473,-0.40591947357503044
9,0.7366744969562726,-0.2954221367776442,0.9194693100336868,0.0950224271251856,-0.5621968203342653,0.9500680874461322,-0.970424343862287,-0.4490846257925425,0.249527791983142,0.7348681423689887,0.5184336060409951,-0.32730864002716653,0.26154260702948084,-0.6694834456508205,0.5923932511048506,0.5830331060958447,0.24832099361042403,0.43429227316197117,0.8049944974923542,0.8044071808044386
10,0.5714014605384607,0.18659388187604353,-0.5992203973663801,0.9505340514760852,-0.47325302080601217,-0.10469797666351432,0.5109862234185423,-0.6063613616137411,-0.19573668342128991,0.3952389147357436,-0.467788296549249,0.7865841806545046,-0.3382333126140178,0.5752445249350393,0.3762095841110997,0.9542019033675972,0.03995886299028495,-0.38524545693088896,0.6417353515132647,0.3714200081578356
11,0.933338657312111,-0.1733708315931144,-0.7820493084176741,-0.7898971964162929,0.5180364974115541,-0.061622662663359806,0.2920954844860215,-0.6418791423930787,0.6152638124422458,-0.2562268787105899,-0.9675326511128008,-0.1114820858419201,-0.3925034402996901,-0.9789111933870223,0.5087546398037375,-0.07856504888378435,-0.42003450613109505,-0.8660270113788784,-0.9085009399671153,0.6251740253002553
12,-0.1545657979618642,-0.07413508783590861,-0.630264294057626,-0.7955920593021026,0.5017554215703144,-0.9412819355631323,0.9859979803685466,-0.9951600298449692,-0.24160720573404082,-0.688934250132706,-0.7773579669812831,-0.5323240203840145,0.40149852651776574,-0.4823835518483499,0.5718097152490635,0.5150003551166582,-0.8837181372724439,-0.887250260863836,-0.18296644108718763,-0.6053232865504452
